Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years,School,Pick,Games,WS
Luke Kennard,2,0.3,0.527,0.382,77,180,15.7,0.9,1.2,4.3,2,Duke,,,
Edrice Adebayo,0.8,1.5,0.601,0,82,260,13,0.7,1.7,8,1,Kentucky,,,
Ivan Rabb,1.2,1.1,0.549,0.409,83,220,13.2,0.6,1.8,9.4,2,California,,,
Semi Ojeleye,1.5,0.4,0.531,0.424,80,230,18.9,0.4,1.4,6.8,3,SMU,,,
Jawun Evans,5.8,0.1,0.458,0.407,72,175,16.6,1.5,2.7,3.8,2,Oklahoma State,,,
Devin Robinson,0.6,0.6,0.526,0.336,80,178,8.9,0.6,0.9,4.9,3,Florida,,,
Jordan Bell,1.5,2.2,0.622,0.188,79,190,7.8,1.1,1.5,6.8,3,Oregon,,,
Tyler Lydon,1.6,1.6,0.531,0.398,80,205,11.6,1.1,1.5,7.4,2,Syracuse,,,
Ike Anigbogu,0.2,1.2,0.564,0,82,250,4.7,0.2,0.8,4,1,UCLA,,,
Jaron Blossomgame,1.1,0.7,0.541,0.315,79,215,13.5,0.6,1.5,6.5,4,Clemson,,,
D.J. Wilson,0.8,1,0.619,0.363,81,220,7.1,0.4,0.8,3.3,3,Michigan,,,
Josh Hart,1.8,0.3,0.592,0.389,77,205,13.2,1.1,1.3,5.6,4,Villanova,,,
Sindarius Thornwell,3,0.6,0.42,0.34,77,215,14.7,1.5,2.5,5.2,4,South Carolina,,,
Caleb Swanigan,2.4,0.5,0.537,0.376,81,260,14.4,0.4,3,10.4,2,Purdue,,,
Tony Bradley,0.6,0.6,0.573,0,82,240,7.1,0.3,0.7,5.1,1,North Carolina,,,
Nigel Williams-Goss,4.7,0.1,0.527,0.368,75,185,16.8,1.7,2.1,6,3,Gonzaga,,,
Alec Peters,1.5,0.3,0.539,0.416,81,225,17.5,0.8,1.9,7.4,4,Valparaiso,,,
Dillon Brooks,2.6,0.5,0.518,0.362,77,205,14.8,0.9,2.1,4.5,3,Oregon,,,
PJ Dozier,2.4,0.3,0.442,0.277,79,185,10.4,1.3,2.4,3.9,2,South Carolina,,,
Thomas Bryant,1.2,1.2,0.63,0.373,82,245,12.2,0.6,2,6.2,2,Indiana,,,
Dwayne Bacon,1.6,0.1,0.51,0.312,79,210,16.5,1,2.1,5,2,Florida State,,,
Frank Mason,4,0.1,0.471,0.42,71,185,13,1.1,1.9,3.4,4,Kansas,,,
Edmond Sumner,3.8,0.4,0.483,0.285,77,170,11.3,1.2,2.2,3.4,3,Xavier,,,
Cameron Oliver,1.3,2.6,0.53,0.369,80,225,14.6,0.7,2.2,8.9,2,"University of Nevada, Reno",,,
Isaiah Hicks,0.7,0.5,0.574,0.167,80,230,7.4,0.3,1.1,3.6,4,North Carolina,,,
Nigel Hayes,2.1,0.4,0.478,0.332,80,235,12.4,0.9,1.6,5.3,4,Wisconsin,,,
Melo Trimble,3.9,0.1,0.501,0.343,75,190,15.9,1.2,2.7,3.7,3,Maryland,,,
Kobi Simmons,2,0.1,0.435,0.327,77,175,8.8,0.6,1.2,1.6,1,Arizona,,,
Wesley Iwundu,2.8,0.4,0.488,0.338,79,205,9.5,0.9,2.1,4.7,4,Kansas State,,,
Johnathan Motley,1.3,1.2,0.535,0.245,81,230,12,0.4,2,6.4,3,Baylor,,,
Malcolm Hill,2.1,0.3,0.474,0.351,78,230,13.5,0.9,1.6,4.7,4,Illinois,,,
Monte Morris,5.5,0.3,0.517,0.381,74,170,12.2,1.6,1.2,3.7,4,Iowa State,,,
Luke Kornet,1.1,1.6,0.519,0.32,84,235,8.9,0.4,1.1,4.8,4,Vanderbilt,,,
De'Aaron Fox,4.6,0.2,0.52,0.246,75,187,16.7,1.5,2.4,3.9,1,Kentucky,,,
